city_code,date_created,type_of,forecast,temperature,realfeel,wind,gusts
188097,2018-11-29,Day,Hazy sunshine; hot,39,40,NE 9 km/h, 28 km/h
188097,2018-11-29,Night,Hazy,22,20,ENE 7 km/h, 11 km/h
3323536,2018-11-29,Day,Mostly sunny; pleasant,30,34,ENE 13 km/h, 33 km/h
197699,2018-11-29,Day,Hazy sunshine; hot,39,41,ENE 9 km/h, 28 km/h
197699,2018-11-29,Night,Hazy,17,17,ENE 7 km/h, 11 km/h
3323536,2018-11-29,Night,"Increasing clouds, a passing shower late",26,29,NE 9 km/h, 13 km/h
3352117,2018-11-29,Day,Hazy sunshine,29,29,NW 9 km/h, 18 km/h
3352117,2018-11-29,Night,Hazy,13,13,WNW 6 km/h, 11 km/h
3024713,2018-11-29,Day,"Turning colder this morning with sun and areas of high clouds, then mostly cloudy, very warm",26,26,WNW 4 km/h, 9 km/h
3024713,2018-11-29,Night,Clear to partly cloudy; chilly,3,4,ENE 7 km/h, 9 km/h
2072518,2018-11-29,Day,Cloudy,25,24,NW 11 km/h, 22 km/h
2072518,2018-11-29,Night,Mainly clear,11,12,N 7 km/h, 11 km/h
3323468,2018-11-29,Day,Mostly sunny; nice,31,35,ENE 13 km/h, 37 km/h
3323468,2018-11-29,Night,"Mostly cloudy, very warm; a couple of showers late",27,29,NE 7 km/h, 13 km/h
201960,2018-11-29,Day,Mostly cloudy,31,31,E 9 km/h, 24 km/h
201960,2018-11-29,Night,Mainly clear,18,18,SE 9 km/h, 15 km/h
357142,2018-11-29,Day,Mostly sunny; nice,23,26,E 6 km/h, 11 km/h
357142,2018-11-29,Night,Clear,6,6,WNW 7 km/h, 9 km/h
186790,2018-11-29,Day,Mostly cloudy; less humid,31,33,ENE 9 km/h, 24 km/h
186790,2018-11-29,Night,Mainly clear,21,22,E 7 km/h, 11 km/h
201516,2018-11-29,Day,Intervals of clouds and sunshine,30,31,WNW 6 km/h, 13 km/h
201516,2018-11-29,Night,Clear,11,12,NNE 7 km/h, 11 km/h
187218,2018-11-29,Day,Hazy sun,30,32,SSW 6 km/h, 13 km/h
187218,2018-11-29,Night,Hazy,14,15,NNW 6 km/h, 9 km/h
191349,2018-11-29,Day,Periods of clouds and sunshine; nice and warm,25,27,NW 6 km/h, 9 km/h
191349,2018-11-29,Night,Mainly clear,5,5,NE 7 km/h, 11 km/h
191524,2018-11-29,Day,Partly sunny; nice,29,31,NNE 7 km/h, 15 km/h
191524,2018-11-29,Night,Partly cloudy,17,19,Calm 0 km/h, 4 km/h
186917,2018-11-29,Day,Hazy sun,32,34,NE 6 km/h, 9 km/h
186917,2018-11-29,Night,Hazy,13,13,NE 7 km/h, 9 km/h
3146959,2018-11-29,Day,Sunny,30,33,N 2 km/h, 11 km/h
3146959,2018-11-29,Night,Mostly clear,14,14,NE 4 km/h, 9 km/h
3016531,2018-11-29,Day,Hazy sunshine; unseasonably hot,36,37,WSW 6 km/h, 11 km/h
3016531,2018-11-29,Night,Hazy,11,12,NNE 7 km/h, 9 km/h
3146919,2018-11-29,Day,Sunny,30,33,N 2 km/h, 11 km/h
3146919,2018-11-29,Night,Mostly clear,14,14,NE 4 km/h, 9 km/h
