city_code,date_created,type_of,forecast,temperature,realfeel,wind,gusts
194407,2018-12-11,Day,Hazy sun,30,32,N 7 km/h, 13 km/h
194407,2018-12-11,Night,Hazy,18,18,NNE 6 km/h, 13 km/h
193834,2018-12-11,Day,Mostly sunny,33,38,NW 7 km/h, 17 km/h
193834,2018-12-11,Night,Mainly clear,23,26,N 7 km/h, 13 km/h
3319693,2018-12-11,Day,Turning colder this morning; some sunshine,32,36,N 13 km/h, 28 km/h
3319693,2018-12-11,Night,Patchy clouds; very warm,28,30,N 9 km/h, 15 km/h
3266341,2018-12-11,Day,Hazy sunshine,26,29,NW 6 km/h, 11 km/h
3266341,2018-12-11,Night,Hazy,13,13,NW 6 km/h, 9 km/h
3352239,2018-12-11,Day,Intervals of clouds and sunshine; pleasant,29,31,ENE 6 km/h, 13 km/h
3352239,2018-12-11,Night,Patchy clouds,18,18,ESE 7 km/h, 11 km/h
188670,2018-12-11,Day,Intervals of clouds and sunshine; nice,25,26,ESE 7 km/h, 15 km/h
188670,2018-12-11,Night,Hazy,10,10,NE 7 km/h, 11 km/h
3199267,2018-12-11,Day,Times of clouds and sun; pleasant,26,28,WNW 7 km/h, 11 km/h
3199267,2018-12-11,Night,Hazy,12,14,NNE 6 km/h, 11 km/h
3085153,2018-12-11,Day,Intervals of clouds and sun,22,24,ESE 6 km/h, 18 km/h
3085153,2018-12-11,Night,Mostly cloudy,10,11,ENE 6 km/h, 9 km/h
3332854,2018-12-11,Day,"A thick cloud cover, a couple of showers",20,20,NNE 6 km/h, 13 km/h
3332854,2018-12-11,Night,Mainly cloudy,7,7,ENE 7 km/h, 11 km/h
197699,2018-12-11,Day,Hazy sunshine,35,36,NNE 9 km/h, 18 km/h
197699,2018-12-11,Night,Hazy,14,15,ENE 7 km/h, 13 km/h
189306,2018-12-11,Day,Hazy sun,29,30,N 7 km/h, 17 km/h
189306,2018-12-11,Night,Hazy,12,12,NNE 6 km/h, 9 km/h
198409,2018-12-11,Day,Hazy sunshine,26,29,NW 6 km/h, 11 km/h
1798462,2018-12-11,Day,Partly sunny; comfortable,22,23,NNE 7 km/h, 13 km/h
198409,2018-12-11,Night,Hazy,13,13,NW 6 km/h, 9 km/h
1798462,2018-12-11,Night,Hazy,11,14,E 2 km/h, 7 km/h
3191104,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3191104,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191637,2018-12-11,Day,Hazy sun,26,28,NNW 7 km/h, 11 km/h
191637,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191619,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191619,2018-12-11,Night,Partly cloudy,14,14,NNW 7 km/h, 11 km/h
3170827,2018-12-11,Day,Times of clouds and sun,31,33,ENE 6 km/h, 11 km/h
3170827,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 11 km/h
3324399,2018-12-11,Day,Hazy sunshine,31,33,W 9 km/h, 24 km/h
3324399,2018-12-11,Night,Hazy,21,20,NW 9 km/h, 15 km/h
2740386,2018-12-11,Day,Times of clouds and sun,28,28,N 7 km/h, 13 km/h
2740386,2018-12-11,Night,Hazy,15,15,N 7 km/h, 9 km/h
359174,2018-12-11,Day,Cloudy this morning; partly sunny this afternoon,18,20,E 7 km/h, 11 km/h
359174,2018-12-11,Night,Partly cloudy,8,8,NE 7 km/h, 11 km/h
191605,2018-12-11,Day,Hazy sunshine,30,31,N 7 km/h, 13 km/h
191605,2018-12-11,Night,Hazy,13,12,N 6 km/h, 9 km/h
3178890,2018-12-11,Day,Hazy sunshine,29,30,NNW 7 km/h, 13 km/h
3178890,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191607,2018-12-11,Day,Intervals of clouds and sunshine,31,32,ENE 7 km/h, 15 km/h
191607,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 11 km/h
2885500,2018-12-11,Day,Hazy sunshine,30,31,N 7 km/h, 17 km/h
2885500,2018-12-11,Night,Partly cloudy,16,16,N 6 km/h, 9 km/h
191589,2018-12-11,Day,Hazy sunshine,30,31,N 7 km/h, 17 km/h
191589,2018-12-11,Night,Partly cloudy,16,16,N 6 km/h, 9 km/h
191588,2018-12-11,Day,Partly sunny; beautiful,27,29,NW 7 km/h, 13 km/h
191588,2018-12-11,Night,Hazy,14,14,NW 6 km/h, 11 km/h
1709913,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
1709913,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
3312913,2018-12-11,Day,"Sun and some clouds, a passing shower this afternoon",30,31,E 6 km/h, 13 km/h
3312913,2018-12-11,Night,Hazy,12,12,NNE 6 km/h, 9 km/h
191545,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 15 km/h
191545,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
3178760,2018-12-11,Day,Hazy sun,29,30,NNW 7 km/h, 15 km/h
3178760,2018-12-11,Night,Hazy,14,14,N 6 km/h, 9 km/h
196626,2018-12-11,Day,Times of clouds and sun,31,33,ENE 6 km/h, 11 km/h
196626,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 11 km/h
3170008,2018-12-11,Day,Intervals of clouds and sunshine,30,32,SSW 6 km/h, 9 km/h
3170008,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 9 km/h
191646,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
191646,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191610,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191610,2018-12-11,Night,Partly cloudy,14,14,NNW 6 km/h, 9 km/h
3171182,2018-12-11,Day,Intervals of clouds and sunshine,31,32,ENE 7 km/h, 15 km/h
3171182,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 11 km/h
196589,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
196589,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
894223,2018-12-11,Day,Intervals of clouds and sunshine,32,33,SW 6 km/h, 9 km/h
894223,2018-12-11,Night,Partly cloudy,12,12,NNW 7 km/h, 11 km/h
191539,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191539,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
2879087,2018-12-11,Day,Hazy sunshine,29,30,N 7 km/h, 15 km/h
2879087,2018-12-11,Night,Partly cloudy,16,16,N 6 km/h, 9 km/h
201637,2018-12-11,Day,Intervals of clouds and sunshine; pleasant,29,30,ENE 11 km/h, 20 km/h
201637,2018-12-11,Night,Partly cloudy,11,12,NE 7 km/h, 11 km/h
1709905,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
1709905,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191537,2018-12-11,Day,Intervals of clouds and sunshine; pleasant,29,30,ENE 11 km/h, 20 km/h
191537,2018-12-11,Night,Partly cloudy,11,12,NE 7 km/h, 11 km/h
191586,2018-12-11,Day,Hazy sunshine,28,29,N 7 km/h, 13 km/h
191524,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191586,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191524,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191633,2018-12-11,Day,Hazy sunshine,26,28,NNW 7 km/h, 18 km/h
191633,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
191526,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191526,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3176941,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
3176941,2018-12-11,Night,Hazy,14,14,N 6 km/h, 9 km/h
191551,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191551,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
201559,2018-12-11,Day,Hazy sunshine,30,31,E 6 km/h, 11 km/h
201559,2018-12-11,Night,Hazy,12,12,NNE 7 km/h, 9 km/h
191577,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
191577,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
3194611,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3194611,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
196588,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
196588,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
3176245,2018-12-11,Day,Hazy sunshine,29,30,N 7 km/h, 15 km/h
3176245,2018-12-11,Night,Hazy,12,12,N 6 km/h, 9 km/h
3193846,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3193846,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191552,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191552,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3195584,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3195584,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191564,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191564,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191542,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
191542,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191543,2018-12-11,Day,Hazy sun,26,29,NNW 6 km/h, 13 km/h
191543,2018-12-11,Night,Hazy,13,13,NW 6 km/h, 9 km/h
196592,2018-12-11,Day,Hazy sunshine,28,30,N 7 km/h, 13 km/h
196592,2018-12-11,Night,Partly cloudy,14,14,NNW 7 km/h, 11 km/h
196591,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
196591,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191525,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191525,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191574,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
191574,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
2879567,2018-12-11,Day,Hazy sunshine,28,30,N 7 km/h, 13 km/h
2879567,2018-12-11,Night,Partly cloudy,14,14,NNW 7 km/h, 11 km/h
191523,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191523,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191530,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191530,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191538,2018-12-11,Day,Intervals of clouds and sunshine; pleasant,29,30,ENE 11 km/h, 20 km/h
191538,2018-12-11,Night,Partly cloudy,11,12,NE 7 km/h, 11 km/h
196709,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
196709,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191582,2018-12-11,Day,Hazy sunshine,28,30,N 7 km/h, 13 km/h
191582,2018-12-11,Night,Partly cloudy,14,14,NNW 7 km/h, 11 km/h
191561,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191561,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191534,2018-12-11,Day,Intervals of clouds and sunshine,31,32,ENE 7 km/h, 15 km/h
191534,2018-12-11,Night,Partly cloudy,11,11,NNE 7 km/h, 11 km/h
191656,2018-12-11,Day,Partly sunny; beautiful,27,29,NW 7 km/h, 13 km/h
191656,2018-12-11,Night,Hazy,14,14,NW 6 km/h, 11 km/h
191578,2018-12-11,Day,Sunny much of the time; nice,28,29,N 7 km/h, 17 km/h
191578,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
196593,2018-12-11,Day,Hazy sunshine,30,31,N 7 km/h, 17 km/h
196593,2018-12-11,Night,Partly cloudy,16,16,N 6 km/h, 9 km/h
191528,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191528,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191649,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191649,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191579,2018-12-11,Day,Hazy sun,26,28,NNW 7 km/h, 13 km/h
191579,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
191559,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191559,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191569,2018-12-11,Day,Hazy sunshine,29,30,N 7 km/h, 15 km/h
191569,2018-12-11,Night,Hazy,12,12,N 6 km/h, 9 km/h
3169481,2018-12-11,Day,Sunny,18,21,S 6 km/h, 11 km/h
3169481,2018-12-11,Night,Clear,5,5,SW 7 km/h, 9 km/h
191653,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 13 km/h
3169886,2018-12-11,Day,Intervals of clouds and sunshine,32,33,SW 6 km/h, 9 km/h
3169886,2018-12-11,Night,Partly cloudy,12,12,NNW 7 km/h, 11 km/h
191653,2018-12-11,Night,Hazy,14,14,N 6 km/h, 9 km/h
1698577,2018-12-11,Day,Hazy sun,26,29,N 7 km/h, 17 km/h
1698577,2018-12-11,Night,Partly cloudy,18,18,N 7 km/h, 11 km/h
3195456,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3195456,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191544,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191544,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191529,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191529,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191563,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191563,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
196609,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
196609,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191614,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191614,2018-12-11,Night,Partly cloudy,14,14,NNW 7 km/h, 11 km/h
191531,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191531,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3318389,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3318389,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191549,2018-12-11,Day,Hazy sunshine,26,28,NNW 7 km/h, 18 km/h
191549,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
191643,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191643,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191575,2018-12-11,Day,Mostly sunny; pleasant,27,29,NW 7 km/h, 13 km/h
191575,2018-12-11,Night,Hazy,14,14,NW 6 km/h, 9 km/h
191558,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191558,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191527,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191527,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191557,2018-12-11,Day,Hazy sun,25,27,NNW 7 km/h, 13 km/h
191557,2018-12-11,Night,Partly cloudy,15,15,NNW 6 km/h, 9 km/h
191583,2018-12-11,Day,Hazy sun,29,30,NNW 7 km/h, 15 km/h
191583,2018-12-11,Night,Hazy,14,14,N 6 km/h, 9 km/h
191553,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191553,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3192503,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3192503,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3196133,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
3196133,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191546,2018-12-11,Day,Hazy sun,26,28,NNW 7 km/h, 13 km/h
191546,2018-12-11,Night,Partly cloudy,16,16,NNW 6 km/h, 9 km/h
191566,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191566,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191550,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
191550,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191567,2018-12-11,Day,Intervals of clouds and sunshine,32,33,SW 6 km/h, 9 km/h
191567,2018-12-11,Night,Partly cloudy,12,12,NNW 7 km/h, 11 km/h
2876082,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
2876082,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191565,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191565,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
191572,2018-12-11,Day,Hazy sun,27,29,NW 7 km/h, 13 km/h
191572,2018-12-11,Night,Hazy,14,14,NNW 7 km/h, 11 km/h
196586,2018-12-11,Day,Hazy sun,27,29,WNW 7 km/h, 15 km/h
196586,2018-12-11,Night,Hazy,13,13,NW 6 km/h, 9 km/h
191580,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191580,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
3196358,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
3196358,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191548,2018-12-11,Day,Sunshine and patchy clouds; nice,26,28,N 7 km/h, 17 km/h
191548,2018-12-11,Night,Partly cloudy,16,17,WNW 2 km/h, 9 km/h
206690,2018-12-11,Day,Sunny much of the time; pleasant,26,28,N 7 km/h, 15 km/h
206690,2018-12-11,Night,Partly cloudy,15,15,NNW 7 km/h, 9 km/h
191570,2018-12-11,Day,Partly sunny; beautiful,27,29,NW 7 km/h, 13 km/h
191570,2018-12-11,Night,Hazy,14,14,NW 6 km/h, 11 km/h
191576,2018-12-11,Day,Hazy sunshine,28,30,NNW 7 km/h, 17 km/h
