city_code,date_created,type_of,forecast,temperature,realfeel,wind,gusts
3324399,2018-12-12,Day,Hazy sun,30,32,WNW 9 km/h, 20 km/h
3324399,2018-12-12,Night,Hazy,19,19,N 13 km/h, 24 km/h
193431,2018-12-12,Day,Partly sunny; pleasant,29,31,ESE 7 km/h, 20 km/h
193431,2018-12-12,Night,Mainly clear,17,17,SE 7 km/h, 11 km/h
197748,2018-12-12,Day,Plenty of sunshine; very warm,37,39,NW 7 km/h, 15 km/h
197748,2018-12-12,Night,Clear,19,19,NE 7 km/h, 13 km/h
3323468,2018-12-12,Day,"Cloudy, a couple of thunderstorms around",29,34,E 17 km/h, 41 km/h
3323468,2018-12-12,Night,"Cloudy, very warm; a couple of thunderstorms around this evening, then a heavy shower",27,30,E 15 km/h, 22 km/h
3323885,2018-12-12,Day,Hazy sun,30,31,NNE 9 km/h, 15 km/h
3323885,2018-12-12,Night,Hazy,19,18,N 11 km/h, 17 km/h
2745299,2018-12-12,Day,Partly sunny; pleasant,28,31,SW 6 km/h, 9 km/h
2745299,2018-12-12,Night,Partly cloudy,17,18,NE 6 km/h, 9 km/h
2888934,2018-12-12,Day,Hazy sun,29,30,N 7 km/h, 11 km/h
2888934,2018-12-12,Night,Hazy,15,15,N 6 km/h, 11 km/h
3045275,2018-12-12,Day,"Hazy sun, a passing shower; cooler",18,19,ENE 9 km/h, 22 km/h
3045275,2018-12-12,Night,Hazy,10,10,NE 7 km/h, 13 km/h
3352165,2018-12-12,Day,Times of clouds and sun; pleasant,29,32,ESE 4 km/h, 15 km/h
3352165,2018-12-12,Night,Mainly clear,17,17,ESE 9 km/h, 13 km/h
2741500,2018-12-12,Day,Hazy sun,28,30,N 7 km/h, 13 km/h
2741500,2018-12-12,Night,Partly cloudy,15,16,N 6 km/h, 9 km/h
2072516,2018-12-12,Day,"Intervals of clouds and sun, a brief shower or two; cool",17,18,ESE 9 km/h, 15 km/h
2072516,2018-12-12,Night,Hazy,9,10,NE 6 km/h, 9 km/h
2072514,2018-12-12,Day,"Intervals of clouds and sun, a brief shower or two; cool",17,18,ESE 9 km/h, 15 km/h
2072514,2018-12-12,Night,Hazy,9,10,NE 6 km/h, 9 km/h
197791,2018-12-12,Day,Hazy sunshine,29,29,N 13 km/h, 24 km/h
197791,2018-12-12,Night,Hazy,13,13,N 9 km/h, 18 km/h
187744,2018-12-12,Day,Hazy sun,30,31,NNE 9 km/h, 15 km/h
187744,2018-12-12,Night,Hazy,19,18,N 11 km/h, 17 km/h
188169,2018-12-12,Day,Mostly sunny; pleasant,31,33,NW 7 km/h, 26 km/h
188169,2018-12-12,Night,Hazy,19,19,N 15 km/h, 22 km/h
2823147,2018-12-12,Day,Hazy sun,30,32,N 7 km/h, 18 km/h
2823147,2018-12-12,Night,Hazy,17,17,N 11 km/h, 15 km/h
192710,2018-12-12,Day,Partly sunny; pleasant,29,30,N 9 km/h, 20 km/h
192710,2018-12-12,Night,Hazy,12,14,N 9 km/h, 13 km/h
3032366,2018-12-12,Day,"Intervals of clouds and sunshine, a couple of showers this afternoon",14,14,E 9 km/h, 24 km/h
3032366,2018-12-12,Night,"A shower this evening; otherwise, partly cloudy",6,6,NE 7 km/h, 11 km/h
2875645,2018-12-12,Day,Mostly sunny,33,37,WNW 9 km/h, 18 km/h
2875645,2018-12-12,Night,Mainly clear,23,27,N 7 km/h, 13 km/h
197699,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197699,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3044582,2018-12-12,Day,"Partly sunny, a shower in the area; cooler",18,19,E 7 km/h, 15 km/h
3044582,2018-12-12,Night,"Partly cloudy, a passing shower late",10,10,NNE 6 km/h, 11 km/h
887363,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
887363,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319275,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319275,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319288,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319288,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319292,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319292,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197698,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197698,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319274,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319274,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
887503,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
887503,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319290,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319290,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319285,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319285,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319305,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319305,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
188170,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
188170,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319308,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319308,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319299,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319299,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197697,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197697,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319280,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319280,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197695,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197695,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197853,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197853,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
888785,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
888785,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197696,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
197696,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
888938,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
888938,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319293,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319293,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
888939,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
888939,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
197757,2018-12-12,Day,Hazy sun,29,31,NNE 9 km/h, 17 km/h
197757,2018-12-12,Night,Hazy,20,19,NNE 11 km/h, 17 km/h
890234,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
890234,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
890581,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
890581,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319304,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319304,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
890447,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
890447,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
890824,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
890824,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
891233,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
891233,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319309,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319309,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
891489,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
891489,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319277,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319277,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192930,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192930,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192636,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192636,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319300,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319300,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192637,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192637,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319289,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319289,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319282,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319282,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319303,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
891932,2018-12-12,Day,Hazy sun,29,31,NNE 9 km/h, 17 km/h
3319303,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
891932,2018-12-12,Night,Hazy,20,19,NNE 11 km/h, 17 km/h
3319295,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319295,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
891813,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
891813,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192635,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192635,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319302,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319302,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319297,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319297,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319294,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319294,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319291,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319291,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319298,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319298,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319279,2018-12-12,Day,Hazy sun,29,31,NNE 9 km/h, 17 km/h
3319279,2018-12-12,Night,Hazy,20,19,NNE 11 km/h, 17 km/h
3319296,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319296,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319281,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319281,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
892990,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
892990,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319306,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319306,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319283,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319283,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319273,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319273,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319276,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319276,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192632,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192632,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
894247,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
894247,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319301,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319301,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319287,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319287,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319307,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319307,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
188305,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
188305,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
192631,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
192631,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319284,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319284,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
895237,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
895237,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319278,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319278,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
3319286,2018-12-12,Day,Hazy sunshine,34,35,N 7 km/h, 18 km/h
3319286,2018-12-12,Night,Hazy,15,16,NE 7 km/h, 13 km/h
202439,2018-12-12,Day,Hazy sun,29,31,N 7 km/h, 17 km/h
